No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station,hujan,musim
1,2013,3,1,0,4.0,4.0,14.0,20.0,300.0,69.0,-0.7,1023.0,-18.8,0.0,NNW,4.4,Guanyuan,False,Other
2,2013,3,1,1,4.0,4.0,13.0,17.0,300.0,72.0,-1.1,1023.2,-18.2,0.0,N,4.7,Guanyuan,False,Other
3,2013,3,1,2,3.0,3.0,10.0,19.0,300.0,69.0,-1.1,1023.5,-18.2,0.0,NNW,5.6,Guanyuan,False,Other
4,2013,3,1,3,3.0,6.0,7.0,24.0,400.0,62.0,-1.4,1024.5,-19.4,0.0,NW,3.1,Guanyuan,False,Other
5,2013,3,1,4,3.0,6.0,5.0,14.0,400.0,71.0,-2.0,1025.2,-19.5,0.0,N,2.0,Guanyuan,False,Other
6,2013,3,1,5,3.0,6.0,6.0,14.0,400.0,71.0,-2.2,1025.6,-19.6,0.0,N,3.7,Guanyuan,False,Other
7,2013,3,1,6,6.0,6.0,6.0,20.0,400.0,66.0,-2.6,1026.5,-19.1,0.0,NNE,2.5,Guanyuan,False,Other
8,2013,3,1,7,3.0,3.0,7.0,26.0,400.0,61.0,-1.6,1027.4,-19.1,0.0,NNW,3.8,Guanyuan,False,Other
9,2013,3,1,8,3.0,6.0,9.0,37.0,500.0,50.0,0.1,1028.3,-19.2,0.0,NNW,4.1,Guanyuan,False,Other
10,2013,3,1,9,7.0,11.0,9.0,30.0,400.0,58.0,1.2,1028.5,-19.3,0.0,N,2.6,Guanyuan,False,Other
11,2013,3,1,10,3.0,8.0,11.0,26.0,400.0,65.0,1.9,1028.2,-19.4,0.0,NNW,3.6,Guanyuan,False,Other
12,2013,3,1,11,3.0,6.0,8.0,23.0,300.0,70.0,2.9,1028.2,-20.5,0.0,N,3.7,Guanyuan,False,Other
13,2013,3,1,12,7.0,14.0,6.0,23.0,300.0,73.0,3.9,1027.3,-19.7,0.0,NNW,5.1,Guanyuan,False,Other
14,2013,3,1,13,12.0,14.0,4.0,20.0,300.0,78.0,5.3,1026.2,-19.3,0.0,NW,4.3,Guanyuan,False,Other
15,2013,3,1,14,14.0,16.0,4.0,21.0,300.0,79.0,6.0,1025.9,-19.6,0.0,NW,4.4,Guanyuan,False,Other
16,2013,3,1,15,12.0,21.0,3.0,21.0,300.0,79.0,6.2,1025.7,-18.6,0.0,NNE,2.8,Guanyuan,False,Other
17,2013,3,1,16,13.0,22.0,5.0,21.0,300.0,78.0,5.9,1025.6,-18.1,0.0,NNW,3.9,Guanyuan,False,Other
18,2013,3,1,17,9.0,28.0,6.0,27.0,400.0,70.0,4.3,1026.3,-18.7,0.0,NNE,2.8,Guanyuan,False,Other
19,2013,3,1,18,10.0,21.0,8.0,35.0,500.0,61.0,3.1,1027.4,-18.4,0.0,NNE,2.1,Guanyuan,False,Other
